1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Best
57,50,46,58,46,48,53,50,52,49,56,43,54,52,54,53,40,48,56,57,45,55,48,55,41,44,51,42,57,57,52,50,53,53,47,49,48,49,58,56,52,53,41,57,59,51,42,52,53,48,60,45,57,40,58,58,44,53,52,48,50,59,59,46,40,54,46,43,50,41,55,40,52,53,54,43,59,47,58,43,49,50,53,45,45,52,47,58,60,44,43,49,52,53,40,53,50,52,42,41,55,47,52,43,49,49,46,57,48,53,45,51,57,57,47,49,44,49,58,45,BF
60,47,43,45,60,48,56,56,53,58,52,59,60,48,40,59,54,59,41,48,57,47,50,46,54,56,53,60,45,46,47,60,48,51,57,51,45,46,54,43,49,44,59,49,56,54,51,51,51,55,56,49,54,40,55,60,60,51,55,49,55,57,52,57,50,41,60,41,60,50,59,45,55,43,40,41,48,46,49,54,44,44,51,53,52,48,54,48,50,43,49,51,48,42,54,60,48,47,60,48,53,45,53,46,54,47,54,54,60,60,43,52,49,50,60,59,45,60,48,60,BF
49,57,52,58,52,55,43,53,40,44,50,52,56,57,47,53,42,40,50,43,57,50,42,58,60,50,52,58,59,57,60,40,43,47,50,60,46,58,46,55,53,54,52,53,52,45,40,53,47,52,42,50,56,42,52,44,49,53,49,41,56,41,60,53,56,60,49,49,48,45,57,54,42,40,54,52,51,51,52,41,52,55,54,56,49,60,41,50,55,50,45,47,48,52,52,56,54,53,49,47,40,42,57,60,60,53,43,52,60,46,49,52,56,49,45,43,44,44,45,49,BF
54,55,50,60,40,53,41,50,57,52,50,55,54,41,53,47,47,43,59,57,52,44,41,52,45,57,58,46,46,55,55,52,46,41,46,40,52,47,51,49,53,58,48,50,49,42,46,59,55,46,46,60,56,52,50,55,57,52,41,55,52,56,45,46,48,53,55,60,49,53,42,43,41,57,50,55,45,40,48,59,50,55,55,42,49,44,55,55,45,58,47,47,45,45,40,43,57,46,46,47,59,52,54,57,46,51,49,47,53,44,55,52,44,52,50,46,42,46,48,56,BF
49,54,59,50,47,57,48,52,47,51,55,51,41,53,48,44,49,49,59,51,45,51,48,49,60,51,54,45,47,54,42,50,49,55,41,45,51,59,43,60,47,50,50,44,50,53,56,49,51,45,47,49,40,50,54,53,51,56,43,56,45,43,49,54,48,48,57,52,47,54,50,49,48,41,52,46,60,45,54,54,54,54,42,44,51,51,47,49,45,55,54,48,49,60,47,54,43,53,60,45,50,55,54,52,47,48,55,55,47,51,45,50,40,44,49,49,48,45,46,55,BF
58,47,54,54,53,42,57,52,40,49,45,49,54,54,59,58,58,42,47,45,54,55,49,41,47,54,47,60,59,48,43,54,44,52,56,49,56,54,45,59,46,54,51,49,50,51,54,55,57,51,51,46,53,49,48,53,52,41,52,46,59,49,54,50,49,42,54,47,45,47,56,58,40,49,47,57,49,58,42,52,53,57,40,54,49,46,53,45,47,56,45,56,50,55,40,45,44,54,49,43,52,58,46,41,53,48,43,52,46,44,54,57,44,49,49,44,52,44,54,44,BF
51,54,50,45,52,48,56,51,49,60,59,60,54,51,47,41,59,47,46,44,57,56,45,50,51,43,53,51,52,54,56,60,60,40,58,49,60,48,56,53,54,50,52,49,52,58,42,56,54,51,55,53,40,57,44,56,44,40,47,40,54,40,60,43,60,49,46,47,59,55,51,49,44,54,41,56,51,58,47,49,47,44,53,46,50,54,55,58,41,48,51,54,49,60,49,41,56,43,50,52,49,43,59,52,54,42,45,56,49,45,50,49,51,44,44,48,51,46,53,45,BF
58,47,52,53,52,55,51,52,59,60,43,51,47,56,45,58,50,45,49,43,60,50,60,52,51,52,42,52,46,40,47,50,51,49,53,52,49,45,50,55,51,53,58,46,56,51,52,55,43,52,41,42,46,51,47,45,59,56,54,40,60,48,42,43,58,49,51,46,47,59,52,48,52,43,47,51,57,48,52,51,57,47,48,49,58,59,43,43,51,56,53,55,47,47,53,40,56,60,60,53,41,41,56,58,46,41,52,55,59,45,46,43,45,46,60,49,52,49,41,45,BF
59,59,44,50,56,59,59,54,56,54,51,54,48,56,48,54,53,50,55,50,48,54,54,49,56,51,56,52,54,40,47,55,50,47,48,58,50,59,41,53,42,40,53,59,46,54,52,44,47,41,59,56,48,51,52,53,49,43,54,44,51,58,51,54,51,50,56,41,55,55,50,40,48,60,53,42,56,59,47,50,51,58,40,46,56,41,52,51,52,51,59,55,41,42,41,45,53,44,44,52,55,48,43,42,52,45,59,45,59,45,45,51,52,59,47,60,47,60,50,59,BF
60,60,59,42,51,53,50,46,55,51,49,58,41,55,52,43,45,45,49,60,56,45,50,58,51,58,54,51,41,41,56,49,45,54,56,46,40,58,50,45,45,60,60,47,49,46,56,40,51,53,52,58,40,58,46,50,55,45,43,54,42,48,55,60,51,53,57,41,57,47,50,58,49,58,46,46,55,54,41,45,58,58,48,53,43,47,52,52,57,52,53,57,48,41,53,43,44,53,44,60,57,49,45,40,58,45,55,49,45,43,47,46,45,58,47,49,54,52,41,57,BF
60,46,42,55,48,53,54,49,51,58,50,43,60,47,52,48,50,41,54,55,57,48,48,60,52,54,51,42,45,55,58,51,47,55,44,52,41,54,44,52,56,48,58,44,47,52,54,56,52,47,60,53,56,59,48,52,53,41,52,45,45,52,42,49,57,55,43,51,60,60,49,58,55,42,48,53,46,47,49,50,48,44,48,52,43,45,55,43,50,46,48,56,46,50,54,51,56,50,43,53,54,54,42,49,50,58,52,44,47,58,53,44,51,49,53,51,48,50,40,49,BF
55,51,44,54,54,47,49,58,54,47,53,53,42,46,56,44,49,59,48,45,51,51,49,48,58,54,49,42,51,56,51,50,49,59,49,52,43,43,56,51,51,47,48,50,54,51,58,56,47,41,54,53,51,53,53,42,56,46,59,47,49,42,55,51,57,41,42,51,42,50,60,55,44,54,48,58,41,56,46,49,45,40,51,55,54,48,44,58,44,43,51,41,52,54,59,48,46,58,50,51,56,55,43,46,52,44,49,46,52,60,58,56,49,60,60,52,45,48,45,50,BF
