1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Best
53,21,81,98,87,78,83,92,99,82,68,63,43,82,99,76,52,67,69,81,89,58,99,76,87,89,61,87,61,49,97,79,84,84,63,68,36,74,53,37,35,95,78,72,80,97,82,88,66,86,31,86,81,53,81,87,53,73,84,41,26,89,87,89,91,97,53,92,33,100,64,25,71,73,99,78,71,47,63,21,98,70,61,78,76,51,92,52,36,99,100,61,63,49,99,59,95,64,97,66,69,25,72,69,74,51,53,20,76,68,78,86,64,99,72,72,69,74,49,26,BF
36,40,84,89,20,20,74,29,21,63,89,67,93,56,73,36,56,51,20,51,72,29,50,91,26,72,38,35,21,83,36,89,61,78,27,91,96,33,81,86,91,21,78,64,96,93,51,57,38,56,86,21,43,72,79,91,25,21,34,85,43,89,66,91,95,77,29,93,26,95,77,28,74,84,33,27,23,97,53,29,81,100,100,81,45,45,61,43,36,96,54,40,100,45,23,22,33,84,94,100,96,100,53,96,73,29,54,56,86,64,73,30,40,66,100,36,71,66,76,45,BF
42,51,69,96,29,32,42,51,99,42,50,72,39,30,77,68,61,21,51,47,84,91,71,31,100,95,55,50,65,21,35,40,79,68,79,42,39,42,62,51,65,47,24,63,70,25,57,71,88,39,46,86,79,61,72,77,61,40,84,47,77,87,23,63,57,61,76,52,88,42,39,25,57,79,32,20,22,76,28,54,74,29,71,61,61,76,26,49,96,86,99,74,79,51,84,82,64,34,95,65,99,26,25,76,91,55,57,71,42,91,68,76,99,99,28,51,51,51,57,74,BF
51,43,24,68,56,56,55,26,70,94,56,53,51,56,100,27,96,56,39,74,68,59,77,88,72,43,46,80,77,90,81,98,51,53,98,62,51,70,85,64,84,83,89,82,68,40,95,74,20,55,91,95,80,88,88,20,59,96,62,62,95,30,66,53,41,100,51,84,62,89,46,95,27,70,95,69,88,58,61,30,76,83,77,80,91,90,37,100,78,46,22,29,27,67,84,23,35,100,100,95,46,48,100,25,66,55,46,91,100,48,59,95,27,30,73,67,72,70,73,55,BF
33,25,27,21,80,93,44,100,57,70,70,95,59,55,21,70,21,44,100,81,100,35,50,73,91,59,50,69,44,94,62,86,78,100,50,33,91,59,56,84,33,47,83,91,100,94,56,66,50,59,33,48,33,100,69,75,80,84,75,81,81,81,75,86,91,64,95,100,87,50,50,77,87,94,25,94,56,55,66,89,87,69,95,84,69,100,100,100,55,100,100,100,75,50,80,50,28,80,50,100,50,50,50,70,50,100,50,56,61,59,62,70,62,100,50,73,66,69,62,70,BF
54,71,80,92,69,92,73,83,24,97,31,84,22,92,76,96,84,54,79,80,37,22,58,86,43,36,28,38,34,31,63,48,71,76,42,21,42,22,84,94,29,57,93,34,45,31,96,54,37,22,79,21,24,37,49,32,70,99,23,49,54,46,26,62,62,92,80,26,84,87,96,25,58,54,82,99,79,62,87,63,94,94,24,92,87,51,32,55,34,66,71,24,68,96,70,54,25,96,54,38,82,42,97,82,53,79,96,88,54,62,44,87,24,99,24,71,99,51,51,63,BF
28,85,21,20,51,85,31,55,41,55,54,56,34,97,53,56,61,46,54,71,73,46,51,56,98,74,79,97,86,90,25,70,58,83,24,79,28,37,91,43,43,94,56,93,53,83,57,64,90,97,53,76,59,67,98,71,67,79,97,51,79,82,28,94,53,79,75,79,58,91,86,89,21,59,56,97,76,61,98,91,24,79,68,59,43,75,40,91,28,28,51,98,20,31,51,64,24,85,86,98,91,88,24,98,43,37,21,94,56,28,64,71,62,41,24,98,71,70,51,74,BF
84,66,33,33,100,100,23,48,53,27,39,35,55,33,46,88,62,71,54,39,57,78,79,95,100,55,46,44,48,33,55,37,41,72,27,75,21,83,67,53,40,66,55,55,37,25,72,40,31,23,95,78,60,44,100,55,97,53,67,75,46,88,89,75,81,88,95,60,62,55,62,75,83,88,91,33,100,28,22,62,84,89,95,33,83,60,89,84,25,22,30,100,46,22,33,23,88,100,48,33,75,78,60,100,88,31,67,67,92,98,25,100,50,66,52,69,58,72,25,62,BF
56,51,40,84,92,25,76,92,80,100,66,80,50,100,74,90,84,66,50,84,97,98,87,63,92,33,66,52,53,32,34,35,25,70,88,100,50,37,97,27,70,27,90,26,92,57,26,33,97,90,74,92,25,84,53,100,50,66,30,92,77,76,83,80,98,93,94,97,67,53,52,77,98,56,24,77,82,95,91,68,52,94,55,57,76,36,58,85,37,81,64,97,53,69,98,52,27,27,97,100,73,73,74,53,88,94,33,93,99,20,22,98,51,50,52,62,57,70,73,56,BF
50,25,85,90,39,92,72,72,99,28,54,81,43,33,45,89,65,77,100,50,72,94,77,33,49,36,61,64,61,97,33,90,81,76,69,23,76,20,81,59,25,39,31,77,89,30,23,61,50,72,43,81,46,43,81,36,69,75,43,43,74,23,68,20,20,54,85,77,25,77,86,87,32,100,65,92,63,80,50,46,72,72,35,22,28,33,70,72,81,80,87,100,26,50,29,69,61,70,89,61,77,81,26,83,43,100,82,76,82,50,36,99,51,30,29,100,50,39,74,66,BF
