mean,std,median,max,min,maxmin,small,medium,large,huge,Heuristic
0.336426667,0.035719608,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.33728,0.041687698,0.333333333,0.4,0.266666667,1.5,0,0.508,0.492,0,BF
0.33664,0.038109019,0.34,0.4,0.266666667,1.5,0,0.492,0.508,0,BF
0.33856,0.038882966,0.34,0.4,0.266666667,1.5,0,0.476,0.524,0,BF
0.3332,0.03719025,0.333333333,0.4,0.266666667,1.5,0,0.52,0.48,0,BF
0.339546667,0.037407853,0.34,0.4,0.266666667,1.5,0,0.464,0.536,0,BF
0.334773333,0.037570902,0.333333333,0.4,0.266666667,1.5,0,0.528,0.472,0,BF
0.3368,0.03634433,0.34,0.4,0.266666667,1.5,0,0.492,0.508,0,BF
0.336426667,0.035674607,0.34,0.4,0.266666667,1.5,0,0.472,0.528,0,BF
0.33728,0.037547255,0.333333333,0.4,0.266666667,1.5,0,0.516,0.484,0,BF
0.336293333,0.037540913,0.34,0.4,0.266666667,1.5,0,0.492,0.508,0,BF
0.336186667,0.036639771,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.33768,0.037671456,0.34,0.4,0.266666667,1.5,0,0.492,0.508,0,BF
0.338586667,0.036694681,0.34,0.4,0.266666667,1.5,0,0.492,0.508,0,BF
0.33728,0.038495545,0.34,0.4,0.266666667,1.5,0,0.488,0.512,0,BF
0.336106667,0.038338393,0.34,0.4,0.266666667,1.5,0,0.484,0.516,0,BF
0.336106667,0.036453037,0.34,0.4,0.266666667,1.5,0,0.464,0.536,0,BF
0.336453333,0.035804626,0.34,0.4,0.266666667,1.5,0,0.484,0.516,0,BF
0.33728,0.03771327,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.337333333,0.038601154,0.34,0.4,0.266666667,1.5,0,0.464,0.536,0,BF
0.337733333,0.037217117,0.333333333,0.4,0.266666667,1.5,0,0.508,0.492,0,BF
0.336693333,0.039475581,0.34,0.4,0.266666667,1.5,0,0.464,0.536,0,BF
0.33768,0.039448958,0.34,0.4,0.266666667,1.5,0,0.468,0.532,0,BF
0.33568,0.036756065,0.333333333,0.4,0.266666667,1.5,0,0.504,0.496,0,BF
0.33584,0.038828577,0.333333333,0.4,0.266666667,1.5,0,0.512,0.488,0,BF
0.336426667,0.037708045,0.34,0.4,0.266666667,1.5,0,0.484,0.516,0,BF
0.336666667,0.038528257,0.333333333,0.4,0.266666667,1.5,0,0.508,0.492,0,BF
0.338373333,0.036539553,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.33576,0.036927697,0.333333333,0.4,0.266666667,1.5,0,0.504,0.496,0,BF
0.3364,0.037910861,0.333333333,0.4,0.266666667,1.5,0,0.512,0.488,0,BF
0.335386667,0.038049931,0.34,0.4,0.266666667,1.5,0,0.492,0.508,0,BF
0.336746667,0.036909779,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.3384,0.037829557,0.34,0.4,0.266666667,1.5,0,0.468,0.532,0,BF
0.337626667,0.037133612,0.34,0.4,0.266666667,1.5,0,0.488,0.512,0,BF
0.334453333,0.036939943,0.333333333,0.4,0.266666667,1.5,0,0.528,0.472,0,BF
0.33408,0.03734343,0.333333333,0.4,0.266666667,1.5,0,0.508,0.492,0,BF
0.33664,0.036354386,0.333333333,0.4,0.266666667,1.5,0,0.504,0.496,0,BF
0.33504,0.037956776,0.34,0.4,0.266666667,1.5,0,0.472,0.528,0,BF
0.334586667,0.036690789,0.333333333,0.4,0.266666667,1.5,0,0.512,0.488,0,BF
0.335226667,0.037242853,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.336053333,0.038588168,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.33856,0.039439029,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.3364,0.038642978,0.333333333,0.4,0.266666667,1.5,0,0.532,0.468,0,BF
0.335813333,0.035640137,0.34,0.4,0.266666667,1.5,0,0.476,0.524,0,BF
0.336373333,0.036937701,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.3376,0.036081122,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.333786667,0.036845357,0.333333333,0.4,0.266666667,1.5,0,0.54,0.46,0,BF
0.336,0.037816344,0.34,0.4,0.266666667,1.5,0,0.492,0.508,0,BF
0.334133333,0.034803971,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.33536,0.035841129,0.333333333,0.4,0.266666667,1.5,0,0.52,0.48,0,BF
0.335386667,0.036282603,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.33496,0.037741023,0.333333333,0.4,0.266666667,1.5,0,0.508,0.492,0,BF
0.333786667,0.036825975,0.333333333,0.4,0.266666667,1.5,0,0.54,0.46,0,BF
0.3372,0.037247798,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.338133333,0.036933796,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.33504,0.037249514,0.34,0.4,0.266666667,1.5,0,0.472,0.528,0,BF
0.335013333,0.037224368,0.333333333,0.4,0.266666667,1.5,0,0.528,0.472,0,BF
0.339226667,0.040671815,0.34,0.4,0.266666667,1.5,0,0.476,0.524,0,BF
0.33816,0.035058327,0.34,0.4,0.266666667,1.5,0,0.488,0.512,0,BF
0.338693333,0.038889989,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.335973333,0.034863912,0.333333333,0.4,0.266666667,1.5,0,0.516,0.484,0,BF
0.334933333,0.03679629,0.333333333,0.4,0.266666667,1.5,0,0.524,0.476,0,BF
0.33696,0.038573437,0.34,0.4,0.266666667,1.5,0,0.492,0.508,0,BF
0.338586667,0.039631871,0.34,0.4,0.266666667,1.5,0,0.436,0.564,0,BF
0.338026667,0.040151645,0.34,0.4,0.266666667,1.5,0,0.492,0.508,0,BF
0.337093333,0.038949792,0.333333333,0.4,0.266666667,1.5,0,0.528,0.472,0,BF
0.337733333,0.03802369,0.34,0.4,0.266666667,1.5,0,0.464,0.536,0,BF
0.33808,0.037620582,0.34,0.4,0.266666667,1.5,0,0.468,0.532,0,BF
0.334346667,0.035569502,0.333333333,0.4,0.266666667,1.5,0,0.544,0.456,0,BF
0.337013333,0.03903756,0.34,0.4,0.266666667,1.5,0,0.484,0.516,0,BF
0.33672,0.038057436,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.336026667,0.036525091,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.337253333,0.036924526,0.333333333,0.4,0.266666667,1.5,0,0.528,0.472,0,BF
0.337813333,0.038575954,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.3348,0.035945568,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.33656,0.038047942,0.34,0.4,0.266666667,1.5,0,0.476,0.524,0,BF
0.336693333,0.036599052,0.34,0.4,0.266666667,1.5,0,0.488,0.512,0,BF
0.33664,0.038080907,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.33288,0.038406092,0.333333333,0.4,0.266666667,1.5,0,0.512,0.488,0,BF
0.336586667,0.037485595,0.34,0.4,0.266666667,1.5,0,0.452,0.548,0,BF
0.334293333,0.036711828,0.333333333,0.4,0.266666667,1.5,0,0.532,0.468,0,BF
0.336293333,0.037773169,0.34,0.4,0.266666667,1.5,0,0.476,0.524,0,BF
0.334693333,0.036137958,0.333333333,0.4,0.266666667,1.5,0,0.544,0.456,0,BF
0.338826667,0.039298299,0.34,0.4,0.266666667,1.5,0,0.456,0.544,0,BF
0.336933333,0.038666067,0.34,0.4,0.266666667,1.5,0,0.484,0.516,0,BF
0.335866667,0.037050805,0.333333333,0.4,0.266666667,1.5,0,0.504,0.496,0,BF
0.334933333,0.037292577,0.333333333,0.4,0.266666667,1.5,0,0.508,0.492,0,BF
0.336773333,0.037779595,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.336373333,0.036641749,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.335173333,0.03757,0.333333333,0.4,0.266666667,1.5,0,0.512,0.488,0,BF
0.334853333,0.036568578,0.333333333,0.4,0.266666667,1.5,0,0.528,0.472,0,BF
0.337173333,0.037152209,0.34,0.4,0.266666667,1.5,0,0.444,0.556,0,BF
0.33528,0.036903057,0.333333333,0.4,0.266666667,1.5,0,0.52,0.48,0,BF
0.33632,0.036553492,0.34,0.4,0.266666667,1.5,0,0.468,0.532,0,BF
0.338373333,0.039247987,0.34,0.4,0.266666667,1.5,0,0.448,0.552,0,BF
0.3368,0.037092934,0.34,0.4,0.266666667,1.5,0,0.488,0.512,0,BF
0.3388,0.0406702,0.34,0.4,0.266666667,1.5,0,0.484,0.516,0,BF
0.337706667,0.037342359,0.34,0.4,0.266666667,1.5,0,0.488,0.512,0,BF
0.336906667,0.036812236,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0,BF
0.33672,0.037737164,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.334693333,0.036029132,0.333333333,0.4,0.266666667,1.5,0,0.536,0.464,0,BF
0.337466667,0.038741699,0.34,0.4,0.266666667,1.5,0,0.468,0.532,0,BF
0.33752,0.036642694,0.333333333,0.4,0.266666667,1.5,0,0.548,0.452,0,BF
0.336533333,0.036996569,0.34,0.4,0.266666667,1.5,0,0.496,0.504,0,BF
0.335493333,0.036755414,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.336746667,0.036339576,0.34,0.4,0.266666667,1.5,0,0.48,0.52,0,BF
0.3352,0.037656471,0.333333333,0.4,0.266666667,1.5,0,0.508,0.492,0,BF
0.336826667,0.036295077,0.34,0.4,0.266666667,1.5,0,0.46,0.54,0,BF
