mean,std,median,max,min,maxmin,small,medium,large,huge,Heuristic
0.39432,0.159487983,0.39,0.666666667,0.133333333,5,0.24,0.136,0.32,0.304,BF
0.410453333,0.156312565,0.42,0.666666667,0.133333333,5,0.212,0.104,0.328,0.356,BF
0.398426667,0.159022604,0.383333333,0.666666667,0.133333333,5,0.224,0.18,0.3,0.296,BF
0.401866667,0.158483667,0.393333333,0.666666667,0.133333333,5,0.228,0.164,0.308,0.3,BF
0.40776,0.156662124,0.396666667,0.666666667,0.133333333,5,0.192,0.176,0.332,0.3,BF
0.406773333,0.159482617,0.413333333,0.666666667,0.133333333,5,0.224,0.14,0.292,0.344,BF
0.39712,0.156868817,0.4,0.666666667,0.133333333,5,0.228,0.148,0.34,0.284,BF
0.425493333,0.155484162,0.45,0.666666667,0.133333333,5,0.204,0.1,0.32,0.376,BF
0.417973333,0.156702349,0.416666667,0.666666667,0.133333333,5,0.208,0.132,0.312,0.348,BF
0.41408,0.156984561,0.426666667,0.666666667,0.133333333,5,0.216,0.092,0.364,0.328,BF
0.425093333,0.163295532,0.436666667,0.666666667,0.133333333,5,0.188,0.148,0.284,0.38,BF
0.40264,0.160286332,0.42,0.666666667,0.133333333,5,0.248,0.148,0.264,0.34,BF
0.407386667,0.160024588,0.406666667,0.666666667,0.14,4.761904762,0.216,0.128,0.328,0.328,BF
0.418586667,0.153629168,0.42,0.666666667,0.133333333,5,0.208,0.096,0.348,0.348,BF
0.412853333,0.156969688,0.426666667,0.666666667,0.133333333,5,0.212,0.116,0.348,0.324,BF
0.413946667,0.158819206,0.42,0.666666667,0.133333333,5,0.22,0.12,0.316,0.344,BF
0.414106667,0.160921951,0.413333333,0.666666667,0.133333333,5,0.192,0.16,0.328,0.32,BF
0.416533333,0.163932268,0.426666667,0.666666667,0.133333333,5,0.216,0.124,0.312,0.348,BF
0.42592,0.155363927,0.44,0.666666667,0.133333333,5,0.164,0.12,0.36,0.356,BF
0.394373333,0.152877453,0.39,0.666666667,0.133333333,5,0.24,0.152,0.32,0.288,BF
0.41624,0.158067014,0.436666667,0.666666667,0.133333333,5,0.192,0.156,0.304,0.348,BF
0.411253333,0.164052681,0.4,0.666666667,0.133333333,5,0.212,0.176,0.264,0.348,BF
0.421573333,0.158285705,0.44,0.666666667,0.14,4.761904762,0.188,0.132,0.328,0.352,BF
0.40656,0.161400572,0.403333333,0.66,0.133333333,4.95,0.244,0.104,0.304,0.348,BF
0.41304,0.160881394,0.42,0.666666667,0.133333333,5,0.216,0.176,0.24,0.368,BF
0.417466667,0.155591256,0.413333333,0.666666667,0.133333333,5,0.172,0.144,0.344,0.34,BF
0.412693333,0.157372273,0.42,0.666666667,0.133333333,5,0.22,0.116,0.308,0.356,BF
0.41432,0.159596504,0.416666667,0.666666667,0.133333333,5,0.22,0.136,0.304,0.34,BF
0.41112,0.161648935,0.42,0.666666667,0.133333333,5,0.216,0.156,0.268,0.36,BF
0.4208,0.156941085,0.413333333,0.666666667,0.133333333,5,0.176,0.148,0.316,0.36,BF
0.40216,0.1609381,0.396666667,0.666666667,0.133333333,5,0.228,0.152,0.32,0.3,BF
0.41768,0.150040735,0.423333333,0.666666667,0.133333333,5,0.188,0.116,0.356,0.34,BF
0.416693333,0.158613187,0.42,0.666666667,0.133333333,5,0.208,0.132,0.312,0.348,BF
0.409333333,0.161753003,0.406666667,0.666666667,0.133333333,5,0.228,0.12,0.332,0.32,BF
0.41224,0.172412483,0.42,0.666666667,0.133333333,5,0.26,0.108,0.252,0.38,BF
0.414213333,0.159141295,0.406666667,0.666666667,0.133333333,5,0.2,0.116,0.332,0.352,BF
0.424293333,0.166809211,0.44,0.666666667,0.133333333,5,0.228,0.112,0.264,0.396,BF
0.40624,0.153498529,0.386666667,0.666666667,0.133333333,5,0.204,0.124,0.356,0.316,BF
0.42544,0.159177682,0.42,0.666666667,0.133333333,5,0.196,0.136,0.288,0.38,BF
0.413546667,0.16131529,0.413333333,0.666666667,0.133333333,5,0.208,0.096,0.36,0.336,BF
0.434026667,0.150351245,0.436666667,0.66,0.133333333,4.95,0.144,0.108,0.36,0.388,BF
0.38528,0.158170703,0.376666667,0.666666667,0.133333333,5,0.272,0.156,0.292,0.28,BF
0.416453333,0.157600393,0.406666667,0.666666667,0.133333333,5,0.188,0.168,0.292,0.352,BF
0.416106667,0.160841571,0.413333333,0.666666667,0.133333333,5,0.212,0.092,0.352,0.344,BF
0.4028,0.168951355,0.403333333,0.666666667,0.133333333,5,0.268,0.12,0.272,0.34,BF
0.409893333,0.1673749,0.4,0.666666667,0.133333333,5,0.236,0.14,0.264,0.36,BF
0.392106667,0.160330725,0.386666667,0.666666667,0.133333333,5,0.26,0.14,0.328,0.272,BF
0.425786667,0.158611019,0.436666667,0.666666667,0.133333333,5,0.196,0.116,0.32,0.368,BF
0.429306667,0.153146266,0.433333333,0.666666667,0.133333333,5,0.172,0.124,0.328,0.376,BF
0.413546667,0.161006287,0.393333333,0.666666667,0.133333333,5,0.204,0.156,0.292,0.348,BF
0.404213333,0.172727881,0.403333333,0.666666667,0.133333333,5,0.284,0.1,0.28,0.336,BF
0.404293333,0.166623992,0.396666667,0.666666667,0.133333333,5,0.256,0.116,0.32,0.308,BF
0.418,0.154537787,0.43,0.666666667,0.133333333,5,0.196,0.136,0.308,0.36,BF
0.397226667,0.15636816,0.386666667,0.666666667,0.133333333,5,0.24,0.14,0.328,0.292,BF
0.40192,0.154629447,0.406666667,0.666666667,0.133333333,5,0.216,0.156,0.324,0.304,BF
0.418586667,0.152020903,0.413333333,0.666666667,0.133333333,5,0.184,0.12,0.368,0.328,BF
0.434773333,0.155665482,0.443333333,0.666666667,0.133333333,5,0.14,0.184,0.312,0.364,BF
0.421573333,0.162773308,0.433333333,0.666666667,0.133333333,5,0.224,0.128,0.288,0.36,BF
0.4092,0.160467245,0.423333333,0.66,0.133333333,4.95,0.22,0.164,0.26,0.356,BF
0.413386667,0.163109009,0.426666667,0.666666667,0.133333333,5,0.24,0.14,0.26,0.36,BF
0.416293333,0.160225029,0.42,0.666666667,0.133333333,5,0.216,0.1,0.316,0.368,BF
0.42032,0.158123435,0.43,0.666666667,0.133333333,5,0.188,0.132,0.32,0.36,BF
0.405386667,0.157820262,0.403333333,0.666666667,0.133333333,5,0.232,0.12,0.348,0.3,BF
0.417466667,0.160294742,0.433333333,0.666666667,0.133333333,5,0.208,0.116,0.324,0.352,BF
0.404666667,0.157868726,0.403333333,0.666666667,0.133333333,5,0.228,0.144,0.304,0.324,BF
0.4052,0.167856476,0.416666667,0.666666667,0.133333333,5,0.264,0.124,0.288,0.324,BF
0.426053333,0.160510611,0.44,0.666666667,0.133333333,5,0.204,0.136,0.268,0.392,BF
0.412853333,0.164722099,0.43,0.666666667,0.133333333,5,0.236,0.136,0.252,0.376,BF
0.38456,0.161527755,0.366666667,0.66,0.133333333,4.95,0.264,0.16,0.276,0.3,BF
0.401893333,0.164531347,0.413333333,0.666666667,0.133333333,5,0.232,0.164,0.28,0.324,BF
0.439866667,0.15273143,0.463333333,0.666666667,0.133333333,5,0.156,0.136,0.308,0.4,BF
0.39712,0.160279399,0.386666667,0.666666667,0.133333333,5,0.252,0.144,0.284,0.32,BF
0.425306667,0.162635916,0.42,0.666666667,0.133333333,5,0.196,0.092,0.328,0.384,BF
0.412986667,0.152662127,0.413333333,0.666666667,0.133333333,5,0.208,0.124,0.344,0.324,BF
0.421733333,0.15247598,0.426666667,0.666666667,0.133333333,5,0.176,0.164,0.304,0.356,BF
0.415786667,0.155414055,0.426666667,0.666666667,0.133333333,5,0.208,0.112,0.352,0.328,BF
0.421013333,0.153677063,0.42,0.666666667,0.133333333,5,0.184,0.14,0.304,0.372,BF
0.39568,0.159429496,0.386666667,0.666666667,0.133333333,5,0.252,0.152,0.292,0.304,BF
0.408026667,0.151144139,0.386666667,0.66,0.133333333,4.95,0.188,0.14,0.34,0.332,BF
