target,capacity,BF,WF,NF,FF,target_performance,huge,large,max,mean,median,medium,min,small,std,tiny,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,i_19,i_20,i_21,i_22,i_23,i_24,i_25,i_26,i_27,i_28,i_29,i_30,i_31,i_32,i_33,i_34,i_35,i_36,i_37,i_38,i_39,i_40,i_41,i_42,i_43,i_44,i_45,i_46,i_47,i_48,i_49,i_50,i_51,i_52,i_53,i_54,i_55,i_56,i_57,i_58,i_59,i_60,i_61,i_62,i_63,i_64,i_65,i_66,i_67,i_68,i_69,i_70,i_71,i_72,i_73,i_74,i_75,i_76,i_77,i_78,i_79,i_80,i_81,i_82,i_83,i_84,i_85,i_86,i_87,i_88,i_89,i_90,i_91,i_92,i_93,i_94,i_95,i_96,i_97,i_98,i_99,i_100,i_101,i_102,i_103,i_104,i_105,i_106,i_107,i_108,i_109,i_110,i_111,i_112,i_113,i_114,i_115,i_116,i_117,i_118,i_119,ns_threshold
BF,150,0.843543291091919,0.6398527026176453,0.5805045366287231,0.771729052066803,0.843543291091919,0.3916666805744171,0.6083333492279053,0.6600000262260437,0.4403333365917206,0.1133333370089531,0.0,0.13333334028720856,0.19166667759418488,0.4403333365917206,0.0,64,31,88,47,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,95,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,83,45,80,91,31,93,69,30,95,70,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,26,68,46,90,57,99,91,76,24,83,56,89,63,63,94,62,69,91,75,70,98,99,95,22,90,37,93,73,1.0000000116860974e-07
BF,150,0.8844274878501892,0.7354254722595215,0.5659688711166382,0.8838765621185303,0.8844274878501892,0.2666666805744171,0.7333333492279053,0.6666666865348816,0.39116668701171875,0.1666666716337204,0.0,0.14000000059604645,0.25,0.39116668701171875,0.0,27,51,92,55,81,29,22,70,26,78,79,74,28,38,29,68,97,34,40,36,50,74,79,55,44,73,24,55,74,60,27,75,76,33,88,61,97,70,100,58,89,76,28,86,37,31,22,24,23,59,87,70,74,42,72,97,64,22,65,50,60,64,63,41,83,31,79,83,95,71,23,47,67,50,42,83,100,21,50,69,68,47,40,74,56,99,31,94,40,59,77,25,41,49,77,62,69,96,37,70,100,30,63,39,79,84,29,100,88,31,49,36,74,49,76,53,69,67,26,21,1.0000000116860974e-07
BF,150,0.8625856041908264,0.7059758305549622,0.6209659576416016,0.8591364026069641,0.8625856041908264,0.40833336114883423,0.5916666984558105,0.6666666865348816,0.4302222430706024,0.23666667938232422,0.0,0.14000000059604645,0.20000001788139343,0.4302222430706024,0.0,64,31,88,55,72,71,53,71,22,23,91,92,84,40,26,54,88,39,43,53,24,30,89,30,94,59,76,93,87,62,95,81,39,58,71,44,67,87,35,24,59,65,21,76,96,100,71,86,80,46,35,92,77,41,54,37,82,83,66,71,84,31,83,28,80,91,31,93,69,53,95,70,66,57,84,82,96,39,37,95,54,63,49,50,80,65,98,35,33,98,26,28,92,53,44,88,57,95,91,49,24,83,87,89,63,80,94,66,74,52,75,56,98,99,95,22,90,37,23,82,1.0000000116860974e-07
BF,150,0.8353471159934998,0.6487111449241638,0.58786541223526,0.7836904525756836,0.8353471159934998,0.38333335518836975,0.6166666746139526,0.6600000262260437,0.4368889033794403,0.1133333370089531,0.0,0.13333334028720856,0.20000001788139343,0.4368889033794403,0.0,64,31,88,47,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,95,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,21,45,80,91,31,93,69,30,95,70,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,26,68,46,90,57,99,91,76,24,83,56,89,63,63,94,62,69,91,75,70,98,99,95,22,90,37,93,73,1.0000000116860974e-07
BF,150,0.8355095386505127,0.651089608669281,0.5906895399093628,0.7639607787132263,0.8355095386505127,0.38333335518836975,0.6166666746139526,0.6600000262260437,0.4377777874469757,0.1133333370089531,0.0,0.13333334028720856,0.19166667759418488,0.4377777874469757,0.0,64,31,88,47,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,49,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,83,45,80,91,31,93,69,30,95,70,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,26,68,46,90,57,99,91,76,24,83,56,89,63,63,94,62,69,91,75,70,98,99,95,22,90,37,93,73,1.0000000116860974e-07
BF,150,0.8428696990013123,0.6393850445747375,0.5800519585609436,0.771460235118866,0.8428696990013123,0.3916666805744171,0.6083333492279053,0.6600000262260437,0.4401666820049286,0.1133333370089531,0.0,0.13333334028720856,0.19166667759418488,0.4401666820049286,0.0,64,31,88,47,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,95,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,83,45,80,91,31,93,69,30,95,70,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,23,68,46,90,57,99,91,76,24,83,56,89,63,63,94,62,69,91,75,70,98,99,95,22,90,37,93,73,1.0000000116860974e-07
BF,150,0.8439968824386597,0.6400967836380005,0.5807348489761353,0.7719971537590027,0.8439968824386597,0.3916666805744171,0.6083333492279053,0.6600000262260437,0.4404444694519043,0.1133333370089531,0.0,0.13333334028720856,0.19166667759418488,0.4404444694519043,0.0,64,31,88,47,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,95,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,83,45,80,91,31,93,69,30,95,70,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,26,68,46,90,57,99,93,76,24,83,56,89,63,63,94,62,69,91,75,70,98,99,95,22,90,37,93,73,1.0000000116860974e-07
BF,150,0.8431532382965088,0.6388543248176575,0.5794660449028015,0.769670844078064,0.8431532382965088,0.3916666805744171,0.6083333492279053,0.6600000262260437,0.43994444608688354,0.1133333370089531,0.0,0.13333334028720856,0.19166667759418488,0.43994444608688354,0.0,64,31,88,47,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,95,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,83,45,80,91,24,93,69,30,95,70,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,26,68,46,90,57,99,91,76,24,83,56,89,63,63,94,62,69,91,75,70,98,99,95,22,90,37,93,73,1.0000000116860974e-07
BF,150,0.8377417325973511,0.6336430907249451,0.5746446847915649,0.7866393327713013,0.8377417325973511,0.3916666805744171,0.6083333492279053,0.6600000262260437,0.4382777810096741,0.1133333370089531,0.0,0.13333334028720856,0.20000001788139343,0.4382777810096741,0.0,64,31,88,47,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,95,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,83,45,80,91,31,93,69,30,95,70,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,26,68,46,90,57,99,91,76,24,83,56,89,63,63,94,62,69,91,75,33,98,99,95,22,90,37,93,73,1.0000000116860974e-07
BF,150,0.8443387150764465,0.6374752521514893,0.5782610177993774,0.7923704981803894,0.8443387150764465,0.3916666805744171,0.6083333492279053,0.6600000262260437,0.4395555555820465,0.1133333370089531,0.0,0.13333334028720856,0.20000001788139343,0.4395555555820465,0.0,64,31,88,33,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,95,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,83,45,80,91,31,93,69,30,95,70,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,26,68,46,90,57,99,91,76,24,83,56,89,63,63,94,62,69,91,75,70,98,99,95,22,90,37,93,73,1.0000000116860974e-07
BF,150,0.8347823023796082,0.6513286232948303,0.5908031463623047,0.7858008146286011,0.8347823023796082,0.38333335518836975,0.6166666746139526,0.6600000262260437,0.43783333897590637,0.1133333370089531,0.0,0.13333334028720856,0.19166667759418488,0.43783333897590637,0.0,64,31,88,47,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,95,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,83,45,80,91,31,48,69,30,95,70,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,26,68,46,90,57,99,91,76,24,83,56,89,63,63,94,62,69,91,75,70,98,99,95,22,90,37,93,73,1.0000000116860974e-07
BF,150,0.8457716107368469,0.6417233943939209,0.5822697877883911,0.7737399935722351,0.8457716107368469,0.40000003576278687,0.6000000238418579,0.6600000262260437,0.440888911485672,0.1133333370089531,0.0,0.13333334028720856,0.19166667759418488,0.440888911485672,0.0,64,31,88,47,72,71,75,81,22,58,68,92,28,40,20,54,83,60,20,53,24,30,60,97,94,26,76,93,87,98,95,83,34,58,71,44,67,87,35,63,47,65,69,74,62,43,71,86,80,91,35,75,63,74,74,85,24,83,66,34,84,31,83,45,80,91,31,93,69,30,95,80,66,57,84,87,90,41,82,95,54,63,98,50,80,65,98,35,78,98,26,28,26,68,46,90,57,99,91,76,24,83,56,89,63,63,94,62,69,91,75,70,98,99,95,22,90,37,93,73,1.0000000116860974e-07
