target,capacity,avg_eff,max_p,max_w,mean,min_p,min_w,std
Default,2417,1.190000057220459,960.0,977.0,494.3999938964844,10.0,6.0,304.5621032714844
MPW,6060,4.510000228881836,988.0,960.0,480.1600036621094,20.0,3.0,299.90704345703125
MPW,2371,2.119999885559082,978.0,960.0,512.0399780273438,24.0,3.0,284.5936279296875
MPW,4540,0.6399999856948853,992.0,967.0,507.0199890136719,22.0,43.0,289.828857421875
MaP,14859,0.4799999892711639,997.0,954.0,519.3599853515625,4.0,65.0,302.3895263671875
MaP,16023,1.159999966621399,991.0,995.0,524.969970703125,25.0,14.0,301.97076416015625
MaP,7653,0.4600000083446502,997.0,967.0,524.7000122070312,12.0,73.0,304.7926025390625
MaP,9374,1.8799999952316284,962.0,998.0,506.9700012207031,14.0,8.0,301.0015563964844
MaP,17868,0.4699999988079071,997.0,967.0,525.6199951171875,20.0,71.0,298.6997985839844
MaP,19866,1.3700000047683716,990.0,998.0,515.8499755859375,4.0,8.0,301.9366760253906
MaP,13019,0.8700000047683716,997.0,995.0,570.760009765625,4.0,14.0,310.6838684082031
MaP,17592,0.550000011920929,997.0,969.0,561.8400268554688,25.0,84.0,294.7118225097656
MaP,20576,0.3600000143051147,998.0,998.0,521.3499755859375,12.0,73.0,299.9734191894531
MaP,22453,0.5600000023841858,997.0,967.0,517.780029296875,4.0,65.0,310.63385009765625
MaP,14097,0.8399999737739563,997.0,969.0,522.0900268554688,12.0,32.0,302.4167175292969
MaP,21302,1.1399999856948853,972.0,968.0,513.1500244140625,12.0,14.0,292.3621826171875
MaP,11818,1.8799999952316284,998.0,989.0,513.3300170898438,34.0,8.0,312.3605651855469
MaP,25089,0.75,990.0,954.0,557.8800048828125,49.0,32.0,288.9432983398437
MaP,15085,0.449999988079071,997.0,954.0,514.530029296875,12.0,65.0,304.21240234375
MaP,20248,0.3899999856948852,997.0,998.0,508.8399963378906,12.0,73.0,298.8298645019531
MaP,19533,0.4699999988079071,997.0,967.0,570.9500122070312,46.0,65.0,299.7320861816406
MaP,14685,0.4099999964237213,997.0,954.0,516.1599731445312,4.0,106.0,298.71844482421875
MaP,17110,0.5799999833106995,997.0,954.0,531.0599975585938,4.0,65.0,315.9816589355469
MaP,13658,0.4300000071525574,997.0,954.0,552.489990234375,38.0,65.0,298.4167175292969
MaP,19083,1.0700000524520874,990.0,967.0,511.4599914550781,12.0,14.0,296.5126342773437
MaP,15783,0.5400000214576721,990.0,954.0,546.1300048828125,34.0,48.0,291.1721496582031
MaP,9773,0.5600000023841858,990.0,954.0,511.25,27.0,65.0,291.7414245605469
MaP,23782,0.6899999976158142,998.0,998.0,499.8200073242188,12.0,36.0,299.6854248046875
MaP,15391,0.800000011920929,991.0,935.0,561.760009765625,20.0,32.0,317.6283264160156
MaP,18248,0.6100000143051147,991.0,922.0,552.9600219726562,27.0,55.0,298.8339233398437
MaP,22007,0.550000011920929,997.0,954.0,517.8800048828125,27.0,65.0,293.6947631835937
MaP,13742,0.3899999856948852,991.0,954.0,546.219970703125,27.0,55.0,302.7920837402344
MaP,21640,0.7200000286102295,990.0,954.0,500.1400146484375,4.0,48.0,304.4961853027344
MaP,16007,0.449999988079071,991.0,941.0,556.280029296875,27.0,92.0,294.3123474121094
MaP,10368,0.3799999952316284,990.0,954.0,515.8200073242188,27.0,65.0,296.1234436035156
MaP,22413,0.9100000262260436,990.0,954.0,494.7999877929688,12.0,14.0,312.13751220703125
MaP,17844,0.449999988079071,990.0,941.0,513.0499877929688,27.0,65.0,305.1635437011719
MaP,12674,0.4900000095367431,991.0,954.0,520.2100219726562,27.0,64.0,300.583251953125
MaP,11648,0.9399999976158142,985.0,998.0,475.989990234375,4.0,8.0,294.6101989746094
MaP,26875,0.3600000143051147,997.0,954.0,516.3300170898438,12.0,65.0,307.7049560546875
MaP,12893,0.4000000059604645,990.0,954.0,519.6300048828125,27.0,65.0,301.6925048828125
MaP,10093,0.3700000047683716,990.0,954.0,505.0199890136719,27.0,65.0,299.0231018066406
MaP,22675,0.5699999928474426,990.0,935.0,520.4600219726562,20.0,48.0,301.979736328125
MaP,19491,0.550000011920929,990.0,954.0,507.0499877929688,27.0,48.0,306.3197021484375
