target,N,capacity,avg_eff,max_p,max_w,mean,min_p,min_w,std
Jooken,1000,100000000,1436.4432748725776,50010196,50010199,7691990.932,1,1,14058954.685121417
Jooken,600,10000000000,759.1987879234495,5001000100,5001000098,882403123.87,1,1,1472264256.0317352
Jooken,1000,100000000,1456.2401847359433,50000300,50000300,35000150.022,1,4,22912874.87784296
Jooken,1200,1000000,1677.9210403343643,510200,510200,408099.4975,1,1,203997.74344758692
Jooken,1200,10000000000,1967.4114989599902,6000000199,6000000197,2350000100.0491667,1,1,1924999997.1589727
Jooken,800,100000000,1015.324958488723,50000300,50000300,17437651.129375,4,2,17185682.166812792
Jooken,1200,1000000,1570.7073959503668,500197,500200,99903.27041666667,1,2,152879.06742990998
Jooken,800,10000000000,1004.8857960807388,5000100099,5000100100,885846527.299375,1,2,1474372826.4788198
Jooken,400,10000000000,691.8146360275936,6000000100,6000000100,4200000049.7925,1,1,2749545417.2468224
Jooken,1000,100000000,1347.2807597483954,50010198,50010199,6107287.242,1,3,12890219.225639997
Jooken,1200,100000000,1885.995508111786,51000100,51000100,9611130.444583334,1,1,14849161.768118177
Jooken,800,10000000000,1149.1231124604624,6000000100,6000000100,2056250050.2825,2,1,1961235660.1097457
Jooken,1200,1000000,1483.043695333203,500200,500200,99945.45166666666,1,1,152886.33369928566
Jooken,800,10000000000,1148.405614095991,5100000200,5100000200,3570000100.31375,1,2,2337113603.3726683
Jooken,800,1000000,1065.5192572103256,501288,501300,78198.615,1,2,141056.54128905374
Jooken,800,100000000,1613.69710674323,50010290,50010299,7741989.1825,2,1,14090811.244239839
Jooken,800,1000000,968.0580565321028,500308,500305,99965.568125,6,2,152879.70227011124
Jooken,1200,10000000000,2056.707688526171,6000000100,6000000100,2056250050.9004166,1,1,1961235659.7302125
Jooken,400,100000000,757.5090138697683,50010299,50010300,40008151.1375,2,1,20003997.240812656
Jooken,1000,1000000,1084.2969448534245,500100,500100,174426.2055,1,1,171855.52634251906
Jooken,800,100000000,994.7490274005802,50001298,50001299,45001051.578125,1,2,15000304.545045752
Jooken,1000,10000000000,1150.3054252769546,5001000300,5001000300,4500900151.898,1,3,1500299999.6793358
Jooken,400,1000000,434.1043574787476,600298,600299,189954.38875,8,2,162074.2052327193
Jooken,1200,10000000000,1716.1935611894205,5010000200,5010000197,889558173.9479166,1,1,1473374123.5960515
Jooken,600,100000000,692.806983772257,51000198,51000197,9611181.213333333,2,6,14849164.385517977
Jooken,1000,10000000000,1122.9964642285813,5100000300,5100000300,4590000153.6655,2,5,1529999999.561836
Jooken,600,100000000,982.5123147438976,50010296,50010299,35007154.26166666,1,1,22917457.97230962
Jooken,1200,10000000000,1528.6385586437318,5100000100,5100000100,4080000049.3195834,1,1,2040000000.691042
Jooken,1000,1000000,1820.0470207310282,500109,500109,76905.8715,1,1,140575.17283625153
Jooken,400,10000000000,463.8509167086493,5000000100,5000000098,599926807.44375,3,5,1280659148.8911648
Jooken,1200,1000000,1363.6627060819776,600300,600299,264524.78291666665,2,3,184183.0429517761
Jooken,600,10000000000,637.2596877692317,5000100300,5000100290,998137023.68,2,13,1528804438.816818
Jooken,1000,100000000,1343.0397310245155,50000100,50000100,40000049.5705,1,1,20000000.759020872
Jooken,1000,1000000,1454.1747792673887,501100,501100,61835.5725,1,1,128991.29889399806
Jooken,1000,100000000,1638.2724975179556,50010293,50010293,5306391.5015,1,1,12190837.007663993
Jooken,800,10000000000,1118.9517250857912,5100000100,5100000100,1426250049.878125,1,2,1704749341.3586156
Jooken,1000,100000000,1261.5095551111324,51000100,51000099,6892305.0685,1,1,12993139.280446757
Jooken,800,1000000,1224.431684544636,501299,501299,350850.233125,1,1,229588.32264695002
Jooken,800,1000000,1087.2106357509479,510288,510299,60883.3175,1,3,123985.95171522131
Jooken,800,10000000000,972.4006003282162,5100000199,5100000199,1088046974.856875,1,1,1535605413.4139698
Jooken,800,10000000000,1082.8979714429017,5100000096,5100000100,965641650.845,1,1,1486942892.0739892
Jooken,400,1000000,542.8469644319413,510099,510100,142675.615,2,1,170475.96180193347
Jooken,600,1000000,898.4670885230584,501290,501291,89103.84166666666,6,2,147332.81286190098
Jooken,400,1000000,453.17795248335403,501199,501200,175374.8,27,7,171959.6840042456
Jooken,400,10000000000,488.255615126084,5010000098,5010000098,881166067.04125,1,2,1468927011.9745295
Jooken,1000,10000000000,1608.4623212762926,5000000100,5000000098,1356250048.8895,1,1,1680087887.8393297
Jooken,800,10000000000,866.6360420352959,5001000300,5001000299,1744650152.570625,2,4,1718669662.3329592
Jooken,1000,10000000000,1567.0266883151724,5000000200,5000000200,4000000101.11,1,1,2000000000.288751
Jooken,800,10000000000,907.385424134067,5001000099,5001000100,1744650050.99625,4,2,1718669660.2865279
Jooken,400,100000000,412.33577034736095,50010198,50010200,9989569.595,4,25,15288629.25511534
Jooken,1000,1000000,1132.0211407062463,500300,500298,174524.1905,5,4,171854.51534899863
Jooken,800,1000000,1646.333857694282,500400,500398,77566.30625,3,1,140910.73381973055
Jooken,400,10000000000,449.05767849781296,5000100200,5000100200,1743840102.34125,17,9,1718578318.5721006
Jooken,1000,1000000,1343.755534278943,500200,500200,155130.0085,3,1,171062.99016553647
Jooken,400,1000000,875.3695260799268,500190,500199,135729.27375,1,1,168008.34901469573
Jooken,800,10000000000,1000.3876969519927,5100000294,5100000300,965641753.189375,2,3,1486942890.439031
Jooken,1200,1000000,1401.2095597347152,501099,501097,70107.31291666666,2,1,135229.4207766626
Jooken,600,10000000000,702.9539521447892,5000100100,5000100100,4500090051.205833,3,2,1500030001.0547225
Jooken,800,100000000,913.6660111679248,60000200,60000199,26437601.67625,3,4,18417998.317558344
Jooken,1200,100000000,1406.6566203275304,60000296,60000296,15907640.432083333,9,1,14343655.740242137
Jooken,400,10000000000,669.563677396678,5000000200,5000000197,1356250104.355,4,2,1680087884.9335074
Jooken,600,10000000000,1004.5451413731307,5000000200,5000000200,3500000099.0125,1,1,2291287849.177293
Jooken,800,1000000,894.6361542018639,500300,500298,99993.240625,3,1,152883.9073595721
Jooken,800,100000000,1038.462758765476,50100100,50100100,40080049.6675,1,1,20040001.3447084
Jooken,400,10000000000,631.861122380521,5100000199,5100000195,593186013.16875,2,3,1228797230.2245202
Jooken,800,100000000,1171.354559228572,50010197,50010191,5381434.035625,1,2,12260322.26398811
Jooken,600,1000000,817.2939080572885,500100,500100,350050.4116666667,1,1,229128.85787626257
Jooken,600,1000000,802.6608316602184,500396,500395,60221.75666666667,1,1,128075.00884964164
Jooken,800,100000000,1157.9606412430742,51000300,51000300,40800155.274375,4,1,20399999.401438043
Jooken,600,100000000,1060.5436536911582,50010100,50010099,7658642.615833334,1,1,14037579.43404527
Jooken,1000,100000000,1255.8547445240645,50001299,50001298,6100199.312,3,3,12889335.79177721
Jooken,1200,100000000,1332.197460271659,50100299,50100298,7005890.074583333,4,9,13522847.073342768
Jooken,600,100000000,862.0067649482969,50000299,50000291,7651843.788333333,1,3,14035893.855086952
Jooken,800,100000000,1237.972260713598,50001099,50001098,5375092.04,1,1,12259132.571138665
Jooken,1200,10000000000,1288.2322172773024,5100000200,5100000200,4590000099.846666,1,5,1530000000.672501
Jooken,600,100000000,1004.2348665789755,50001299,50001298,45001048.19583333,1,1,15000298.134976666
Jooken,400,1000000,789.9067447406966,500294,500291,87509.35875,5,1,146779.88094887204
Jooken,600,10000000000,880.6609437331886,5000100198,5000100200,1550080099.6841667,5,2,1710463971.3989804
Jooken,1000,10000000000,1255.2172212299436,6000000300,6000000300,5400000153.72,15,1,1799999998.7966688
Jooken,600,100000000,690.1857014838534,50000099,50000098,9980519.293333333,1,2,15287979.518059552
Jooken,600,100000000,837.5429191421862,51000300,51000299,40800151.70916667,1,5,20399999.87768398
Jooken,600,10000000000,706.8750981973083,5000000198,5000000198,998046974.2008333,2,2,1528797911.4357846
Jooken,1200,1000000,2067.7236910855213,500400,500400,155229.81791666665,1,1,171063.84203148328
Jooken,1200,10000000000,1556.5813450814974,5000100300,5000100300,4000080151.247083,1,2,2000040001.138127
Jooken,400,100000000,463.7388819564293,50001098,50001096,15500851.5075,1,2,17104638.33673423
Jooken,800,100000000,1204.6634405855953,60000295,60000295,12361993.979375,1,3,14272820.323401835
Jooken,1000,10000000000,1303.204112437806,5100000200,5100000200,4080000100.1465,2,2,2040000000.177001
Jooken,1000,1000000,1424.4986867003302,500199,500200,155100.1875,1,1,171044.07172404235
Jooken,1000,100000000,1156.9156188891486,60000300,60000300,54000150.813,1,1,18000004.147876326
Jooken,800,100000000,918.3385795019924,50000299,50000300,45000147.605,1,4,14999996.541499592
Jooken,600,1000000,1150.458352984955,500294,500300,135774.39083333334,3,2,168007.4445823004
Jooken,1200,10000000000,1475.80187977535,6000000100,6000000100,2350000050.4904165,1,1,1924999998.8415425
Jooken,800,100000000,937.2808557192524,50000198,50000200,6124355.02625,1,6,12909694.136598993
Jooken,1000,10000000000,1685.991077001255,6000000300,6000000291,1402925686.9905,1,1,1441521529.1893516
Jooken,1200,1000000,1903.9716213984796,510199,510200,142726.45958333334,1,1,170475.8773026139
Jooken,1000,1000000,1168.7742394155318,500100,500100,99855.5765,1,1,152879.2275991678
Jooken,800,100000000,936.2905069707241,51000300,51000299,18337649.193125,6,4,17289453.257988088
Jooken,1000,100000000,1435.9555822311177,50010299,50010298,6107338.807,1,2,12890218.957383035
Jooken,600,100000000,631.3013262621488,50100299,50100296,6921484.160833334,2,26,13462852.21194984
Jooken,800,1000000,1227.0356133567639,500109,500109,77406.374375,1,1,140893.78386908333
Jooken,800,1000000,1382.5941943241858,501273,501300,54594.985,1,1,122718.93141627447
Jooken,1000,10000000000,1403.3581678429443,5010000100,5010000098,775426144.5805,1,1,1407412685.9851937
Jooken,1000,10000000000,1327.3894127779322,5100000300,5100000299,4080000148.7245,3,2,2039999998.406002
Jooken,600,100000000,1042.4984591704274,50010193,50010196,8824129.8725,1,1,14722641.984585853
Jooken,800,10000000000,1600.0852592553028,5100000200,5100000195,843236429.009375,1,1,1426165571.1650655
Jooken,600,1000000,743.428208019974,510100,510097,108854.57166666667,1,1,153559.908296295
Jooken,1200,10000000000,1512.5598700502385,6000000100,6000000099,1676608124.0916667,1,1,1640620225.8716066
Jooken,600,100000000,825.095312811927,50001194,50001187,5333476.650833333,2,1,12220621.326902527
Jooken,800,1000000,1147.9453887503275,600099,600100,123667.93875,1,1,142728.36876645705
Jooken,800,1000000,887.6992556813982,500399,500399,100044.861875,2,2,152886.59040505008
Jooken,600,100000000,796.5616276799739,51000097,51000094,9611132.168333333,1,1,14849161.373046873
Jooken,400,10000000000,499.00681568599913,5000100098,5000100100,1550080047.885,1,2,1710463972.3574953
Jooken,800,100000000,1716.9908488284748,50010286,50010295,5381478.764375,1,1,12260322.29692045
Jooken,400,1000000,539.6758974958341,500397,500395,87554.87375,4,2,146784.58089501536
Jooken,600,10000000000,809.9877712320792,5100000297,5100000297,834169416.6466666,1,4,1421140841.9846253
Jooken,800,100000000,1131.4164465403835,51000097,51000100,14262550.408125,1,1,17047492.20949999
Jooken,400,1000000,498.073514261348,510272,510294,67937.84375,6,9,129159.55416215572
Jooken,400,1000000,588.0585067426583,500200,500209,174482.81125,1,1,171855.01421888487
Jooken,1000,1000000,1313.1070767830527,500209,500209,87938.628,1,2,147038.93512247226
Jooken,1000,100000000,1409.426306038063,50001197,50001198,8783703.0585,1,2,14703675.19934436
Jooken,400,10000000000,458.79897989015785,5100000299,5100000285,1833750157.44625,10,4,1728945216.4738362
Jooken,400,100000000,656.502544341605,50100199,50100200,35070099.68,2,1,22958704.761525
Jooken,800,10000000000,1088.386889485547,5000100100,5000100100,537504313.32125,1,1,1225913252.587835
Jooken,600,10000000000,655.5916531295119,5010000200,5010000200,4509000099.539166,1,4,1503000001.0158343
Jooken,800,10000000000,927.006396144152,5000100100,5000100099,998136925.49875,1,1,1528804440.005332
Jooken,1200,100000000,1598.5939545537337,50001099,50001099,15500850.634166667,1,1,17104638.797994837
Jooken,1200,10000000000,1987.4281452353057,5000100195,5000100199,533337660.95625,1,1,1222061968.3926837
Jooken,1200,1000000,1433.2231300930348,500396,500400,100044.22916666667,3,3,152887.4272104587
Jooken,1000,10000000000,1640.3261391129204,6000000100,6000000100,4200000050.027,1,1,2749545415.6567774
Jooken,400,100000000,755.2065975786198,50001297,50001293,7735711.11875,2,2,14089318.30939636
Jooken,600,100000000,646.6619837488452,60000200,60000200,26437600.78,3,11,18417999.197441775
Jooken,1200,1000000,1538.5621213627455,500200,500200,450101.3441666667,1,1,150000.1883127592
Jooken,1000,1000000,1468.646672463524,501299,501298,155950.348,1,2,171225.53101738915
Jooken,1200,1000000,1297.2388565097388,500200,500200,69297.67875,1,1,135181.49320173432
Jooken,800,10000000000,1095.7838199561222,5000000100,5000000100,3500000049.818125,1,1,2291287847.465236
Jooken,600,100000000,842.6649877767304,60000098,60000099,12266064.961666666,1,2,14258667.837370075
