i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,i_19,i_20,i_21,i_22,i_23,i_24,i_25,i_26,i_27,i_28,i_29,i_30,i_31,i_32,i_33,i_34,i_35,i_36,i_37,i_38,i_39,i_40,i_41,i_42,i_43,i_44,i_45,i_46,i_47,i_48,i_49,i_50,i_51,i_52,i_53,i_54,i_55,i_56,i_57,i_58,i_59,i_60,i_61,i_62,i_63,i_64,i_65,i_66,i_67,i_68,i_69,i_70,i_71,i_72,i_73,i_74,i_75,i_76,i_77,i_78,i_79,i_80,i_81,i_82,i_83,i_84,i_85,i_86,i_87,i_88,i_89,i_90,i_91,i_92,i_93,i_94,i_95,i_96,i_97,i_98,i_99,i_100,i_101,i_102,i_103,i_104,i_105,i_106,i_107,i_108,i_109,i_110,i_111,i_112,i_113,i_114,i_115,i_116,i_117,i_118,i_119,target,mean,std,median,max,min,maxmin,small,medium,large,huge
57,50,46,58,46,48,53,50,52,49,56,43,54,52,54,53,40,48,56,57,45,55,48,55,41,44,51,42,57,57,52,50,53,53,47,49,48,49,58,56,52,53,41,57,59,51,42,52,53,48,60,45,57,40,58,58,44,53,52,48,50,59,59,46,40,54,46,43,50,41,55,40,52,53,54,43,59,47,58,43,49,50,53,45,45,52,47,58,60,44,43,49,52,53,40,53,50,52,42,41,55,47,52,43,49,49,46,57,48,53,45,51,57,57,47,49,44,49,58,45,BF,0.339055556,0.034703448,0.34,0.4,0.266666667,1.5,0,0.466666667,0.533333333,0
60,47,43,45,60,48,56,56,53,58,52,59,60,48,40,59,54,59,41,48,57,47,50,46,54,56,53,60,45,46,47,60,48,51,57,51,45,46,54,43,49,44,59,49,56,54,51,51,51,55,56,49,54,40,55,60,60,51,55,49,55,57,52,57,50,41,60,41,60,50,59,45,55,43,40,41,48,46,49,54,44,44,51,53,52,48,54,48,50,43,49,51,48,42,54,60,48,47,60,48,53,45,53,46,54,47,54,54,60,60,43,52,49,50,60,59,45,60,48,60,BF,0.335,0.032833792,0.34,0.4,0.266666667,1.5,0,0.466666667,0.533333333,0
49,57,52,58,52,55,43,53,40,44,50,52,56,57,47,53,42,40,50,43,57,50,42,58,60,50,52,58,59,57,60,40,43,47,50,60,46,58,46,55,53,54,52,53,52,45,40,53,47,52,42,50,56,42,52,44,49,53,49,41,56,41,60,53,56,60,49,49,48,45,57,54,42,40,54,52,51,51,52,41,52,55,54,56,49,60,41,50,55,50,45,47,48,52,52,56,54,53,49,47,40,42,57,60,60,53,43,52,60,46,49,52,56,49,45,43,44,44,45,49,BF,0.333777778,0.036048865,0.34,0.4,0.266666667,1.5,0,0.466666667,0.533333333,0
54,55,50,60,40,53,41,50,57,52,50,55,54,41,53,47,47,43,59,57,52,44,41,52,45,57,58,46,46,55,55,52,46,41,46,40,52,47,51,49,53,58,48,50,49,42,46,59,55,46,46,60,56,52,50,55,57,52,41,55,52,56,45,46,48,53,55,60,49,53,42,43,41,57,50,55,45,40,48,59,50,55,55,42,49,44,55,55,45,58,47,47,45,45,40,43,57,46,46,47,59,52,54,57,46,51,49,47,53,44,55,52,44,52,50,46,42,46,48,56,BF,0.335722222,0.035726901,0.333333333,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0
49,54,59,50,47,57,48,52,47,51,55,51,41,53,48,44,49,49,59,51,45,51,48,49,60,51,54,45,47,54,42,50,49,55,41,45,51,59,43,60,47,50,50,44,50,53,56,49,51,45,47,49,40,50,54,53,51,56,43,56,45,43,49,54,48,48,57,52,47,54,50,49,48,41,52,46,60,45,54,54,54,54,42,44,51,51,47,49,45,55,54,48,49,60,47,54,43,53,60,45,50,55,54,52,47,48,55,55,47,51,45,50,40,44,49,49,48,45,46,55,BF,0.336055556,0.038491595,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0
58,47,54,54,53,42,57,52,40,49,45,49,54,54,59,58,58,42,47,45,54,55,49,41,47,54,47,60,59,48,43,54,44,52,56,49,56,54,45,59,46,54,51,49,50,51,54,55,57,51,51,46,53,49,48,53,52,41,52,46,59,49,54,50,49,42,54,47,45,47,56,58,40,49,47,57,49,58,42,52,53,57,40,54,49,46,53,45,47,56,45,56,50,55,40,45,44,54,49,43,52,58,46,41,53,48,43,52,46,44,54,57,44,49,49,44,52,44,54,44,BF,0.339055556,0.038079928,0.34,0.4,0.266666667,1.5,0,0.483333333,0.516666667,0
51,54,50,45,52,48,56,51,49,60,59,60,54,51,47,41,59,47,46,44,57,56,45,50,51,43,53,51,52,54,56,60,60,40,58,49,60,48,56,53,54,50,52,49,52,58,42,56,54,51,55,53,40,57,44,56,44,40,47,40,54,40,60,43,60,49,46,47,59,55,51,49,44,54,41,56,51,58,47,49,47,44,53,46,50,54,55,58,41,48,51,54,49,60,49,41,56,43,50,52,49,43,59,52,54,42,45,56,49,45,50,49,51,44,44,48,51,46,53,45,BF,0.336222222,0.036090283,0.34,0.4,0.266666667,1.5,0,0.441666667,0.558333333,0
58,47,52,53,52,55,51,52,59,60,43,51,47,56,45,58,50,45,49,43,60,50,60,52,51,52,42,52,46,40,47,50,51,49,53,52,49,45,50,55,51,53,58,46,56,51,52,55,43,52,41,42,46,51,47,45,59,56,54,40,60,48,42,43,58,49,51,46,47,59,52,48,52,43,47,51,57,48,52,51,57,47,48,49,58,59,43,43,51,56,53,55,47,47,53,40,56,60,60,53,41,41,56,58,46,41,52,55,59,45,46,43,45,46,60,49,52,49,41,45,BF,0.336222222,0.0353479,0.34,0.4,0.266666667,1.5,0,0.491666667,0.508333333,0
59,59,44,50,56,59,59,54,56,54,51,54,48,56,48,54,53,50,55,50,48,54,54,49,56,51,56,52,54,40,47,55,50,47,48,58,50,59,41,53,42,40,53,59,46,54,52,44,47,41,59,56,48,51,52,53,49,43,54,44,51,58,51,54,51,50,56,41,55,55,50,40,48,60,53,42,56,59,47,50,51,58,40,46,56,41,52,51,52,51,59,55,41,42,41,45,53,44,44,52,55,48,43,42,52,45,59,45,59,45,45,51,52,59,47,60,47,60,50,59,BF,0.336166667,0.033636298,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0
60,60,59,42,51,53,50,46,55,51,49,58,41,55,52,43,45,45,49,60,56,45,50,58,51,58,54,51,41,41,56,49,45,54,56,46,40,58,50,45,45,60,60,47,49,46,56,40,51,53,52,58,40,58,46,50,55,45,43,54,42,48,55,60,51,53,57,41,57,47,50,58,49,58,46,46,55,54,41,45,58,58,48,53,43,47,52,52,57,52,53,57,48,41,53,43,44,53,44,60,57,49,45,40,58,45,55,49,45,43,47,46,45,58,47,49,54,52,41,57,BF,0.341333333,0.03880185,0.346666667,0.4,0.266666667,1.5,0,0.433333333,0.566666667,0
60,46,42,55,48,53,54,49,51,58,50,43,60,47,52,48,50,41,54,55,57,48,48,60,52,54,51,42,45,55,58,51,47,55,44,52,41,54,44,52,56,48,58,44,47,52,54,56,52,47,60,53,56,59,48,52,53,41,52,45,45,52,42,49,57,55,43,51,60,60,49,58,55,42,48,53,46,47,49,50,48,44,48,52,43,45,55,43,50,46,48,56,46,50,54,51,56,50,43,53,54,54,42,49,50,58,52,44,47,58,53,44,51,49,53,51,48,50,40,49,BF,0.333333333,0.033894437,0.333333333,0.4,0.266666667,1.5,0,0.55,0.45,0
