target,capacity,fitness,avg_eff,max_p,max_w,mean,min_p,min_w,std,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49
GA_1.0,15098,88.54931640625,1.100000023841858,981.0,995.0,532.3499755859375,3.0,18.0,297.9444580078125,896,342,268,97,724,613,104,835,653,740,359,960,831,486,949,3,243,69,934,648,732,745,615,195,668,36,981,115,325,850,434,467,882,359,220,459,73,324,980,716,161,100,569,777,188,576,428,774,684,368,834,875,981,556,837,69,659,783,522,797,665,433,885,710,391,216,782,18,418,664,46,475,945,858,839,604,185,832,632,912,622,190,23,185,838,664,958,62,248,54,79,480,595,592,995,234,826,588,402,622
GA_1.0,10357,7.440234661102295,0.85999995470047,965.0,981.0,473.9700012207031,4.0,29.0,273.0844421386719,684,935,134,142,783,597,604,557,480,158,64,604,941,4,870,426,579,16,402,419,959,401,420,462,49,819,763,198,356,46,965,463,458,842,441,153,622,718,55,825,624,98,284,570,719,517,347,750,586,702,389,533,619,309,490,173,906,963,645,225,359,58,280,670,981,839,487,238,574,177,771,51,327,565,515,483,690,550,501,381,480,71,29,642,886,800,176,541,177,483,169,361,290,127,209,876,641,795,53,231
GA_1.0,2255,6.408601805391509e+24,2.5199999809265137,992.0,931.0,478.1499938964844,4.0,3.0,277.83709716796875,684,665,134,338,57,597,211,557,480,158,64,454,941,4,870,426,32,89,789,419,903,208,203,214,191,867,742,198,49,46,965,707,370,885,992,153,622,718,55,557,624,392,461,570,559,517,432,750,262,829,389,533,619,881,490,931,42,89,645,48,359,906,516,818,407,318,487,238,574,185,771,228,762,565,511,787,690,33,42,600,480,785,214,642,544,800,3,541,177,699,543,361,290,416,452,876,641,795,295,787
GA_1.0,5235,6.408601805391509e+24,0.8899999856948853,992.0,995.0,530.6699829101562,3.0,18.0,305.4920959472656,896,342,53,97,57,613,104,835,480,740,64,960,560,486,870,3,243,69,934,419,959,745,615,195,668,36,981,115,325,850,434,467,882,359,992,459,73,324,980,362,161,100,569,777,188,576,427,774,684,368,834,875,981,881,837,69,659,783,522,797,665,433,885,670,391,627,782,18,418,664,595,475,945,858,839,604,185,832,632,912,622,190,23,185,886,664,958,62,248,54,79,480,595,416,995,234,826,588,402,622
GA_1.0,11325,6.408601805391509e+24,1.0299999713897705,1000.0,981.0,521.4600219726562,4.0,18.0,296.1141357421875,684,715,268,97,724,613,104,674,480,158,359,604,560,4,949,426,32,16,934,648,959,745,420,462,668,36,763,1000,49,46,550,467,882,842,992,459,676,718,980,716,624,98,461,777,559,517,428,774,684,829,834,533,981,556,837,173,659,963,261,797,114,58,516,710,981,216,782,18,418,185,771,228,945,234,839,604,381,33,632,912,622,190,214,699,544,822,752,62,248,483,79,480,148,416,209,234,826,795,300,622
GA_1.0,12236,6.408601805391509e+24,1.2599999904632568,1000.0,969.0,480.7300109863281,4.0,28.0,290.0762939453125,520,935,134,338,783,597,604,674,668,158,98,604,941,4,67,521,579,89,789,788,903,401,420,823,49,582,763,1000,356,46,550,12,370,842,441,153,676,718,55,825,624,98,284,567,719,947,347,750,725,702,389,28,619,309,572,931,42,963,645,225,114,58,280,818,407,839,912,238,340,185,771,228,762,234,515,483,381,550,117,381,969,785,29,642,544,822,176,532,295,281,462,361,290,127,209,699,641,950,53,231
GA_1.0,25533,6.408601805391509e+24,0.429999977350235,990.0,995.0,522.739990234375,3.0,69.0,278.0485534667969,520,342,134,97,57,597,104,557,480,740,64,511,560,734,67,3,32,89,789,788,903,401,615,214,668,819,981,198,823,46,857,707,882,842,441,459,622,324,55,557,161,100,284,777,719,576,432,990,586,883,389,533,619,309,572,69,659,783,645,225,114,855,940,818,407,627,912,666,574,185,771,475,327,858,515,483,381,832,632,600,969,785,214,642,886,664,958,532,295,699,543,361,290,127,995,699,641,184,402,426
GA_1.0,7486,726.0599975585938,3.130000114440918,992.0,981.0,529.030029296875,32.0,3.0,285.80328369140625,684,342,53,97,57,613,104,835,480,740,64,454,560,486,870,426,32,69,934,419,903,745,615,214,191,867,742,115,325,850,965,467,882,359,992,153,622,324,980,362,624,392,569,570,559,517,427,750,684,368,834,875,981,881,490,69,659,89,522,48,665,906,885,670,407,318,782,238,574,664,595,228,762,858,839,787,185,832,42,912,622,785,23,185,886,664,3,541,177,699,543,361,290,416,452,876,826,588,295,622
GA_1.0,17443,257.6402587890625,0.9099999666213989,992.0,931.0,483.2699890136719,4.0,28.0,284.1996765136719,684,935,134,338,783,597,211,674,668,158,98,454,941,4,67,521,579,89,789,788,903,401,203,214,191,867,763,198,49,46,965,12,370,885,992,153,676,718,55,825,624,392,461,570,719,517,347,750,262,702,389,28,619,309,490,931,42,89,645,225,114,906,280,818,407,839,487,238,574,185,771,228,762,234,511,787,690,550,42,600,480,785,29,642,544,800,176,532,295,699,543,361,290,416,209,876,641,795,295,787
GA_1.0,19600,6.408601805391509e+24,2.8399999141693115,1000.0,987.0,481.7799987792969,4.0,3.0,290.306884765625,520,665,134,338,783,597,9,557,668,158,64,454,941,4,67,56,579,89,789,983,903,208,420,214,191,867,742,1000,49,46,965,707,774,842,441,533,622,718,337,557,624,253,284,248,559,517,432,750,262,702,435,533,619,881,490,931,42,963,645,48,359,58,516,818,407,318,487,238,340,185,771,298,762,234,515,483,381,33,42,987,480,785,214,642,544,800,3,541,177,699,462,41,290,700,452,876,641,950,53,787
