target,capacity,fitness,MaP,Default,MPW,MiW,avg_eff,max_p,max_w,mean,min_p,min_w,std,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49
MaP,20922,4554.1787109375,24143.0,19352.0,19498.0,19669.0,1.5499999523162842,990.0,997.0,540.47998046875,11.0,5.0,309.7159729003906,956,89,905,207,519,11,530,751,181,925,812,31,990,880,160,245,610,303,606,642,881,906,366,338,116,386,738,869,38,603,502,85,130,105,468,158,270,674,879,122,498,888,812,710,27,586,684,921,225,942,165,725,962,721,270,760,628,370,700,334,915,122,976,925,643,144,88,639,449,604,930,757,808,600,809,233,979,151,792,363,763,257,441,997,5,959,961,483,143,825,810,40,663,499,203,452,937,471,487,810
MaP,13656,3782.2001953125,18753.0,13687.0,14486.0,15389.0,2.0999999046325684,983.0,973.0,469.3999938964844,13.0,7.0,297.85205078125,128,378,828,73,983,872,778,103,13,908,327,93,537,102,365,92,322,939,944,248,608,229,847,170,462,979,650,191,686,178,738,702,213,553,144,110,977,452,402,797,582,110,351,621,516,173,105,230,80,15,926,836,262,170,606,895,807,54,322,602,500,973,394,780,62,825,267,633,910,545,282,431,7,474,11,175,477,691,741,334,227,679,287,579,693,593,953,522,549,865,265,314,911,475,33,700,639,209,506,45
MaP,10875,2420.407470703125,16076.0,11806.0,12520.0,13849.0,5.170000076293945,970.0,997.0,433.260009765625,10.0,3.0,312.67333984375,956,876,905,207,519,11,170,751,181,201,812,31,262,803,243,245,216,186,322,642,228,107,247,235,116,386,738,970,38,350,502,85,130,105,468,946,669,803,10,336,498,434,592,21,27,177,313,162,225,942,165,161,889,721,270,375,230,370,700,710,915,276,115,3,643,929,205,184,449,14,930,77,808,885,809,233,10,151,34,363,763,257,441,997,5,440,961,483,551,825,810,389,354,499,203,982,937,799,487,120
MaP,14295,3849.914306640625,19410.0,13781.0,15030.0,15150.0,1.9199999570846558,979.0,997.0,482.6000061035156,11.0,5.0,322.6758117675781,956,89,905,73,519,11,778,751,13,925,812,93,537,102,160,245,322,939,944,642,608,906,847,338,116,979,650,191,38,603,502,85,130,105,144,110,977,674,402,122,582,110,351,621,27,173,684,921,225,15,165,725,962,721,270,760,807,370,322,334,915,122,976,925,643,825,267,639,449,604,930,757,7,474,11,233,477,691,741,334,227,257,287,997,5,959,953,522,549,825,265,314,663,499,33,700,937,209,506,45
MaP,21494,2841.519287109375,26456.0,22901.0,22984.0,23524.0,2.9700000286102295,998.0,997.0,534.0399780273438,11.0,5.0,318.6937255859375,956,89,905,73,519,11,778,998,13,925,812,511,990,102,160,92,322,939,944,248,881,906,366,338,344,979,650,970,686,184,502,702,213,553,468,110,669,452,402,797,498,888,812,710,27,218,684,230,565,942,165,836,962,721,270,708,628,370,763,602,915,973,976,925,62,144,88,639,449,545,930,431,7,600,809,175,979,691,741,363,227,257,287,997,5,593,953,483,551,825,818,40,663,589,33,452,9,471,506,45
MaP,11139,2673.34521484375,18010.0,11207.0,15347.0,15248.0,1.6699999570846558,979.0,961.0,478.4800109863281,11.0,3.0,305.79730224609375,899,876,535,108,246,11,778,103,13,260,327,962,262,102,141,974,216,456,606,248,881,906,209,338,635,979,738,869,721,178,956,85,130,108,667,110,626,452,421,336,582,110,351,621,821,206,313,921,934,15,464,21,695,170,193,310,807,828,325,710,500,56,826,3,738,825,267,333,859,604,744,77,641,600,809,175,477,151,741,363,809,774,226,872,21,959,961,522,47,280,265,389,663,495,681,236,937,471,451,135
MaP,16820,2914.028564453125,20837.0,16319.0,17862.0,17423.0,2.380000114440918,998.0,997.0,494.1600036621094,10.0,5.0,320.3294677734375,215,307,905,207,519,482,397,998,702,201,812,962,827,256,243,245,52,929,322,805,108,229,366,170,412,386,881,970,675,184,885,702,690,772,18,110,669,803,10,336,83,888,592,21,516,218,313,162,266,163,856,997,889,898,113,708,230,882,763,296,737,973,115,780,738,929,267,639,89,332,930,206,7,885,61,83,10,546,792,215,546,774,441,997,5,440,953,483,551,280,818,40,599,589,199,982,9,808,506,446
MaP,16889,1999.9093017578125,23495.0,19103.0,19321.0,21487.0,3.7300000190734863,998.0,997.0,482.6700134277344,21.0,3.0,310.9755859375,215,876,905,207,519,482,397,998,181,201,812,962,827,256,293,245,216,186,322,805,228,229,366,235,412,386,881,970,675,184,956,702,690,108,468,946,669,803,631,480,83,434,989,21,821,218,127,998,266,163,856,997,889,898,113,375,230,882,763,296,737,276,115,3,738,825,267,639,449,14,930,206,7,885,544,83,10,546,34,215,273,774,567,997,693,123,218,562,551,280,818,40,599,495,199,452,9,799,506,446
MaP,19888,2194.367919921875,22620.0,17931.0,17763.0,20257.0,1.9500000476837158,998.0,979.0,517.1400146484375,11.0,7.0,306.67449951171875,128,378,905,73,983,11,778,998,13,925,327,511,537,102,160,92,322,939,944,248,608,906,847,170,344,979,650,970,686,178,502,702,213,553,144,110,669,452,402,797,498,110,351,621,516,173,105,230,565,942,926,836,962,721,270,895,628,370,322,602,500,973,976,925,62,144,88,639,449,545,930,431,7,474,809,175,979,691,741,334,227,679,287,579,693,593,953,522,551,825,818,314,911,475,33,452,9,471,506,45
MaP,20650,1380.0399169921875,27377.0,25589.0,26257.0,26328.0,3.950000047683716,987.0,997.0,502.94000244140625,11.0,3.0,324.3857421875,215,409,905,207,246,11,530,987,181,201,812,962,827,218,293,974,216,186,606,805,881,906,366,338,635,386,738,869,675,184,956,85,690,108,667,946,626,803,631,480,83,434,812,526,821,218,127,921,934,942,464,997,889,898,113,375,230,882,763,710,166,56,115,3,738,310,988,639,859,14,744,206,7,885,544,83,10,151,34,215,273,774,226,872,21,123,961,562,47,280,818,389,663,495,199,236,937,799,506,446
